Country,Age,Gender,Perception regarding personal growth,Attitute toward personal growth,Consumer of personal growth program (Last 3 Years),Barrier to purchase,Personal Growth content invested,Audience Name,Financial Freedom Interest,Natural Products Interest,Spiritual Interest,Motivation Interest,Coaching 1:1 Interest,Top Interest (Cloud Word),Masterclass Awareness,Calm Awareness,Udemy Awareness,Mindvalley Awareness,Program Purchase Drivers
US,26-35,Female,Content that teaches,Money is a barrier,No,Pricing,,Kensho,Agree,Agree,Disagree,Agree,Disagree,"Watch TV,Read books,,Do arts crafts,,Watch movies,Browse social media,,,,,Listen to music,,,,Play video games,,,,",Not Familiar,Familiar,Familiar,Not Familiar,Content Relevance
US,36-45,Female,"No idea, never thought about it",Money is a barrier,Yes,,Fitness,Holistic,Agree,Agree,Agree,Agree,Agree,"Watch TV,,,,,Watch movies,,,,,,,,,Cook/bake,,,,,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Credibility
US,55+,Female,Content that teaches,It is for Everyone,Yes,,Holistic,Holistic,Agree,Agree,Agree,Agree,Agree,"Watch TV,Read books,,,Socialise meet friends,Watch movies,Browse social media,Exercise,Go for a walk,Learn new skills,Meditate practice mindfulness,Listen to music,,,,,,,,",Familiar,Familiar,Not Familiar,Not Familiar,Affordability
US,55+,Female,Content that entertains,It is for Everyone,No,Lack of time,,Bliss,Disagree,Agree,Agree,Disagree,Agree,"Watch TV,,,Do arts crafts,,,,,Go for a walk,,Meditate practice mindfulness,Listen to music,,,,,Spend time with my partner,,,",Familiar,Familiar,Not Familiar,Not Familiar,Content Relevance
US,55+,Female,Content that teaches,It is for Everyone,No,Lack of time,,Spirituality Skeekers,Agree,Agree,Agree,Disagree,Agree,"Watch TV,,,,Socialise meet friends,Watch movies,Browse social media,Exercise,Go for a walk,,,Listen to music,,,Cook/bake,,,Spend time with the kids,,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Content Relevance
US,18-25,Male,Content that transforms,It is for Everyone,Yes,,Mindfullness,Go Getters,Agree,Disagree,Agree,Disagree,Agree,"Watch TV,,Play sports,,,Watch movies,,Exercise,Go for a walk,,,,,,,,,,,",Not Familiar,Familiar,Very Familiar,Not Familiar,Affordability
US,26-35,Female,Content that teaches,Time is a barrier,No,Pricing,,Bliss,Agree,Agree,Agree,Agree,Agree,",,,,,,Browse social media,,Go for a walk,,,,,,,,,Spend time with the kids,,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Affordability
US,55+,Female,Content that teaches,It is for Everyone,No,Pricing,,Bliss,No opinion,Agree,Agree,Agree,Agree,",Read books,,,,Watch movies,,Exercise,Go for a walk,,,Listen to music,,,,,,,,",Not Familiar,Very Familiar,Not Familiar,Not Familiar,Affordability
US,18-25,Male,Content that entertains,It is for Everyone,Yes,,Holistic,Go Getters,Disagree,Agree,Agree,Agree,Disagree,",,,,,Watch movies,,,,,,,,Go on a nightout,,,,,,",Familiar,Very Familiar,Very Familiar,Very Familiar,Affordability
US,18-25,Female,Content that transforms,Time is a barrier,No,Lack of time,,Go Getters,Disagree,Disagree,Agree,Agree,Disagree,"Watch TV,,,,,,,,,,,,,,,,,,,",Very Familiar,Familiar,Very Familiar,Not Familiar,Time Convience
US,18-25,Male,Content that entertains,Time is a barrier,No,Not Interested,,Spirituality Skeekers,Disagree,Agree,Disagree,Agree,Disagree,"Watch TV,,,,,,,,Go for a walk,,Meditate practice mindfulness,,Go on an excursion,,,,,,,",Very Familiar,Familiar,Very Familiar,Very Familiar,Content Relevance
US,18-25,Female,Content that transforms,It is for Everyone,Yes,,Selfawareness,Spirituality Skeekers,Agree,Agree,Agree,Agree,Agree,"Watch TV,,,,,,,Exercise,Go for a walk,,,Listen to music,,,Cook/bake,,,,,",Very Familiar,Very Familiar,Not Familiar,Not Familiar,Affordability
US,18-25,Female,Content that transforms,Money is a barrier,No,Pricing,,Spirituality Skeekers,Agree,Agree,Agree,Agree,Agree,"Watch TV,,,,Socialise meet friends,,Browse social media,,Go for a walk,Learn new skills,Meditate practice mindfulness,Listen to music,,Go on a nightout,Cook/bake,Play video games,Spend time with my partner,Spend time with the kids,Go to a restaurant,",Familiar,Very Familiar,Not Familiar,Familiar,Content Relevance
US,36-45,Female,Content that transforms,It is for Everyone,Yes,,Crisis healing,Great Resignation,Agree,Agree,Agree,Agree,Agree,",,,Do arts crafts,,Watch movies,,,,Learn new skills,Meditate practice mindfulness,Listen to music,,,Cook/bake,Play video games,,Spend time with the kids,,",Not Familiar,Very Familiar,Not Familiar,Not Familiar,Affordability
US,55+,Female,Content that teaches,It is for Everyone,No,Pricing,,Spirituality Skeekers,Agree,Agree,Agree,Agree,Agree,",Read books,,Do arts crafts,,Watch movies,,,,Learn new skills,Meditate practice mindfulness,Listen to music,,,,,,Spend time with the kids,,",Not Familiar,Not Familiar,Not Familiar,Not Familiar,Content Relevance
US,46-54,Female,Content that teaches,It is for Everyone,No,Pricing,,Go Getters,Agree,No opinion,Agree,Agree,Agree,",,,Do arts crafts,,,,,,,,,,,,,,Spend time with the kids,,Other",Familiar,Familiar,Familiar,Not Familiar,Affordability
