,Compresión Simple (Pa),Cohesión (Pa),Ángulo de Fricción (Grados),Módulo de Young,Textura,Nombre
0,30863359.41,17073962.3,41.85,224491.1,Detrítica,Arenisca
1,227318045.99,22342501.06,50.59,593741.91,Porfídica,Basalto
2,269198211.16,68975835.32,47.62,746282.28,Porfídica,Basalto
3,303367708.28,23818875.61,43.72,334318.08,Afanítica,Andesita
4,313194051.68,30170564.45,36.94,365861.51,Afanítica,Andesita
5,205495193.7,13500732.95,40.45,906971.14,Intermedia-Gruesa,Granito
6,186784439.42,41146764.81,52.32,582685.07,Porfídica,Basalto
7,166255366.92,66610914.86,47.15,709683.09,Porfídica,Basalto
8,225112445.15,30446883.85,38.38,249088.7,Fanerítica,Gabro
9,187954705.44,26628381.95,51.54,112756.26,Intermedia-Gruesa,Granito
10,243417870.07,30076747.58,31.34,171080.77,Fanerítica,Gabro
11,131101962.06,28574306.48,50.58,599677.07,Intermedia-Gruesa,Granito
12,175476519.6,33668703.16,48.74,466765.88,Porfídica,Basalto
13,269404060.94,30480373.85,37.96,340584.57,Fanerítica,Gabro
14,182653743.64,42390234.09,49.64,336902.22,Porfídica,Basalto
15,195921191.63,26422484.07,48.32,779585.01,Porfídica,Basalto
16,227807748.8,40734865.98,60.05,96532.06,Intermedia-Gruesa,Granito
17,170349992.98,18488459.27,49.1,472625.19,Porfídica,Basalto
18,243993252.62,30451117.5,36.66,43124.16,Fanerítica,Gabro
19,209507677.94,17268037.25,43.65,652373.85,Intermedia-Gruesa,Granito
20,151630844.69,27173059.78,31.11,491722.52,Detrítica,Arenisca
21,181082174.46,26098897.29,52.26,380235.98,Afanítica,Andesita
22,46482028.93,3812911.12,50.63,214368.3,Detrítica,Arenisca
23,197421086.46,28583967.21,55.01,371046.35,Porfídica,Basalto
24,209873696.19,2678184.26,58.62,209397.81,Intermedia-Gruesa,Granito
25,178179741.14,86507350.93,50.83,679011.41,Porfídica,Basalto
26,199563629.44,68816305.06,51.45,352472.52,Porfídica,Basalto
27,97294039.36,25421374.53,50.99,348716.21,Detrítica,Arenisca
