,Compresión Simple (Pa),Cohesión (Pa),Ángulo de Fricción (Grados),Textura,Nombre,Módulo de Poisson(Pa),Resistividad,Susceptibilidad(X10⁶)
0,227363464.7,53491045.8,51.4,Intermedia-Gruesa,Granito,0.33,726957.55,39.53
1,212590746.18,36679675.01,47.75,Intermedia-Gruesa,Granito,0.07,1275534.07,85.83
2,294364954.52,30698360.85,33.51,Fanerítica,Gabro,0.18,224230.91,1091.5
3,217879535.79,34074702.89,51.23,Intermedia-Gruesa,Granito,0.2,510678.59,69.41
4,219679609.9,28818652.68,35.92,Fanerítica,Gabro,0.18,73271.33,671.51
5,218348142.24,18850549.54,49.49,Porfídica,Basalto,0.36,508073.43,42828.67
6,89994448.79,32835169.53,43.81,Detrítica,Arenisca,0.22,2334.0,282.72
7,217243710.77,28496922.8,34.5,Fanerítica,Gabro,0.2,1029033.7,1221.9
8,274386175.14,29632163.79,40.29,Fanerítica,Gabro,0.17,585280.21,623.35
9,158966312.3,20519853.3,38.93, foliada,Gneiss,0.32,1033863.91,19.72
10,171365337.48,2695948.3,35.05, foliada,Gneiss,0.13,732098.07,100.05
11,177990945.15,17495149.35,34.17, foliada,Gneiss,0.06,257959.12,414.06
12,178570454.44,33520267.9,51.34,Intermedia-Gruesa,Granito,0.27,652139.62,54.97
13,226279344.93,24640207.84,50.32,Intermedia-Gruesa,Granito,0.37,503621.58,24.4
14,253922479.82,30352070.28,38.04,Fanerítica,Gabro,0.23,160904.32,567.31
15,194399508.54,39632987.29,23.22, foliada,Gneiss,0.14,667342.97,198.97
16,269291944.74,29898013.15,39.67,Fanerítica,Gabro,0.14,94296.05,1173.83
17,245714993.14,50478693.55,55.32,Intermedia-Gruesa,Granito,0.19,433682.85,146.96
18,230324698.29,29402763.82,33.99,Fanerítica,Gabro,0.18,888961.44,194.88
19,347240982.69,29888355.42,36.14,Fanerítica,Gabro,0.14,511734.51,798.49
20,183612684.13,30839415.39,47.35,Porfídica,Basalto,0.27,124153.33,43201.02
21,186313795.5,9672803.65,22.66, foliada,Gneiss,0.1,730886.7,413.62
22,150652305.47,16705536.8,35.98,Detrítica,Arenisca,0.34,3826.94,380.4
23,250802092.37,34379305.24,37.62,Afanítica,Andesita,0.23,3511108.46,21678.85
24,182850347.07,23456391.3,53.46,Porfídica,Basalto,0.32,415724.45,53381.73
25,225529778.52,29448321.08,42.52,Fanerítica,Gabro,0.12,351695.48,757.46
26,221396443.05,29469683.38,41.7,Fanerítica,Gabro,0.23,52556.17,877.09
27,200655931.06,22141261.8,37.06, foliada,Gneiss,0.08,215765.02,26.95
28,188004792.23,40943479.06,56.04,Intermedia-Gruesa,Granito,0.31,281734.54,34.79
29,198118634.9,58720711.3,61.93,Intermedia-Gruesa,Granito,0.26,755777.74,1.21
30,219772454.92,45066641.09,53.24,Intermedia-Gruesa,Granito,0.38,346086.22,45.85
31,159868905.44,35231075.64,39.05, foliada,Gneiss,0.16,345287.47,256.65
32,201575535.08,29946326.14,34.84,Fanerítica,Gabro,0.2,7084.94,671.26
33,67888919.87,27171273.49,24.75,Detrítica,Arenisca,0.25,4441.65,282.71
34,161265028.8,27431418.24,51.57,Intermedia-Gruesa,Granito,0.2,499492.42,60.09
35,196854263.31,28246328.67,47.67,Porfídica,Basalto,0.09,680274.64,35430.17
36,180332764.43,20076170.0,59.73,Intermedia-Gruesa,Granito,0.23,1460126.25,32.56
37,190479170.81,8532522.33,55.76,Porfídica,Basalto,0.27,413436.13,35349.16
38,242194852.25,29873731.66,29.38,Fanerítica,Gabro,0.12,276328.5,690.71
39,184572793.03,23782191.91,39.38, foliada,Gneiss,0.19,429215.56,480.16
40,315088320.21,27909125.43,48.13,Afanítica,Andesita,0.32,5023343.33,17040.08
41,126485287.52,29981709.19,25.59,Detrítica,Arenisca,0.02,3179.77,92.64
42,199936948.23,10304564.78,31.12, foliada,Gneiss,0.46,411695.29,307.71
43,92634479.68,35448601.12,39.83,Detrítica,Arenisca,0.19,1900.86,447.98
44,201147220.23,50134804.04,54.39,Intermedia-Gruesa,Granito,0.37,700316.04,17.38
45,180979869.56,-8008028.33,46.07,Intermedia-Gruesa,Granito,0.23,554006.44,71.45
46,234002425.24,32747914.95,42.97,Intermedia-Gruesa,Granito,0.13,320530.74,75.9
47,197450806.16,42361995.68,55.37,Intermedia-Gruesa,Granito,0.23,167528.92,144.5
48,285741819.49,29253569.34,43.77,Afanítica,Andesita,0.28,4509291.54,14102.93
49,232824564.75,24852091.8,58.66,Porfídica,Basalto,0.3,65469.53,28268.46
50,206426481.24,31493154.94,28.43,Fanerítica,Gabro,0.2,551481.89,1147.99
51,168592954.22,45963033.28,38.93, foliada,Gneiss,0.04,78184.61,267.02
52,182983816.5,56822812.74,50.4,Intermedia-Gruesa,Granito,0.27,528599.89,79.11
53,255177202.11,30482211.97,33.55,Fanerítica,Gabro,0.18,995154.48,819.04
54,273653741.35,30173499.37,37.61,Fanerítica,Gabro,0.2,1083539.49,988.92
55,225368960.17,19524616.88,30.26, foliada,Gneiss,0.13,559831.41,281.46
56,264302481.46,29416439.11,33.06,Fanerítica,Gabro,0.09,730263.23,1048.29
57,195949138.87,7195545.79,34.74, foliada,Gneiss,0.14,933705.3,243.31
58,171620476.64,22126811.8,37.13, foliada,Gneiss,0.11,972684.83,604.14
59,317154011.04,25244448.74,42.79,Afanítica,Andesita,0.29,4861541.36,33028.92
60,196508784.6,32108089.32,38.91, foliada,Gneiss,0.2,400358.84,203.17
61,187862568.55,16011596.44,35.7, foliada,Gneiss,0.03,370808.8,226.22
62,327202809.23,22911895.55,41.06,Afanítica,Andesita,0.26,9590396.44,25249.7
63,243726636.93,30687296.28,35.02,Fanerítica,Gabro,0.13,667626.88,877.34
64,182180352.67,41366652.62,51.33, foliada,Gneiss,0.23,444976.05,353.32
65,172861718.48,16690692.8,53.65,Intermedia-Gruesa,Granito,0.16,817458.19,70.5
