,Compresión Simple (Pa),Cohesión (Pa),Ángulo de Fricción (Grados),Textura,Nombre,Módulo de Poisson,Resistividad,Susceptibilidad
0,197016841.91,11524781.54,46.76,Intermedia-Gruesa,Granito,0.04,536375.91,0.0
1,39262080.09,5980036.05,28.44,Detrítica,Arenisca,0.03,6985.06,0.0
2,267303656.03,31628862.68,35.8,Fanerítica,Gabro,0.18,13057.38,0.0
3,332209799.0,29667964.39,28.53,Afanítica,Andesita,0.27,6034340.33,0.03
4,236285749.44,30450503.53,37.27,Fanerítica,Gabro,0.13,550960.69,0.0
5,296416632.09,31588560.57,26.73,Fanerítica,Gabro,0.16,432977.3,0.0
6,262167744.21,29030931.3,32.96,Fanerítica,Gabro,0.18,275598.23,0.0
7,214575671.02,39571299.32,33.72, foliada,Gneiss,0.3,783619.31,0.0
8,270136003.62,28961975.13,31.98,Fanerítica,Gabro,0.16,589817.76,0.0
9,144005120.16,42610981.4,31.83, foliada,Gneiss,0.09,82048.18,0.0
10,257436293.55,30160083.97,32.54,Fanerítica,Gabro,0.21,353065.62,0.0
11,243678705.27,40948334.11,43.04,Afanítica,Andesita,0.26,5479579.55,0.02
12,171677947.69,25833033.48,31.87, foliada,Gneiss,0.39,891749.47,0.0
13,196660104.14,26188755.0,37.96,Afanítica,Andesita,0.34,3982108.39,0.03
14,195648752.12,29892754.11,37.51,Fanerítica,Gabro,0.13,530008.58,0.0
15,173125653.79,33529543.09,48.47,Intermedia-Gruesa,Granito,0.05,316120.27,0.0
16,160953342.28,16743546.34,40.59, foliada,Gneiss,0.22,947399.76,0.0
17,261883595.06,29384537.05,34.28,Fanerítica,Gabro,0.13,214293.35,0.0
18,205006941.4,30757003.51,40.69,Fanerítica,Gabro,0.12,71720.36,0.0
19,236851932.41,51244638.52,50.87,Intermedia-Gruesa,Granito,0.07,483888.41,0.0
20,202964568.74,28641720.3,33.48,Fanerítica,Gabro,0.19,204577.22,0.0
21,185143584.92,50483957.87,39.8, foliada,Gneiss,0.18,204746.27,0.0
22,226094625.87,29859139.57,34.07,Fanerítica,Gabro,0.24,246004.26,0.0
23,205780439.92,27818766.39,40.94,Afanítica,Andesita,0.2,6765158.44,0.01
24,152019892.88,24150025.09,52.37,Intermedia-Gruesa,Granito,0.3,433528.79,0.0
25,253677209.51,51506946.8,45.4,Intermedia-Gruesa,Granito,0.37,1107586.11,0.0
26,199398373.31,28831015.41,57.37,Intermedia-Gruesa,Granito,0.2,632819.3,0.0
27,194542829.28,14978575.04,62.91,Intermedia-Gruesa,Granito,0.28,954283.15,0.0
28,226544159.48,42096457.93,53.05,Porfídica,Basalto,0.2,471718.58,0.04
29,175908887.63,24556859.0,54.58,Porfídica,Basalto,0.13,43421.0,0.04
30,201346936.11,19791985.25,48.04, foliada,Gneiss,0.35,351833.29,0.0
31,206288188.65,31105780.88,40.47, foliada,Gneiss,0.09,901221.0,0.0
